ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,1035;-0,0403;7787,2584;252,9552;136,8470;default broker;19113,8204;0,0000;0,0000;-620,8784;620,8784;-0,0000;COLDPOWER22;-280,4120;0,0000;0,0000;9,1087;-0,7468;-0,0000;VidyutVanika;-11046,1500;-4040,4565;-4040,4565;358,8145;-358,8145;-116,1082
363;0,1210;-0,0522;12982,5143;508,5060;348,8291;default broker;17635,6754;0,0000;0,0000;-690,7635;690,7635;-0,0000;COLDPOWER22;-315,4420;0,0000;0,0000;12,3554;-4,5959;-0,0000;VidyutVanika;-4337,7191;-5103,2494;-5103,2494;169,9021;-169,9021;-159,6769
364;0,1268;-0,0379;9350,1673;267,3235;154,4702;default broker;16421,6522;0,0000;0,0000;-469,4990;469,4990;-0,0000;COLDPOWER22;-342,6420;0,0000;0,0000;9,7962;-1,5251;-0,0000;VidyutVanika;-6728,8429;-4711,6905;-4711,6905;192,3792;-192,3792;-112,8533
365;0,1405;-0,0396;21256,1652;388,9135;388,9829;default broker;15787,3597;0,0000;0,0000;-288,8535;288,9566;-0,0000;COLDPOWER22;-350,7120;0,0000;0,0000;6,4168;-6,4191;-0,0000;VidyutVanika;5819,5175;-2936,0101;-2936,0101;-106,4768;106,4768;0,0694
366;0,1570;-0,0516;13045,4076;503,5747;416,7408;default broker;13662,4404;0,0000;0,0000;-527,3932;527,3932;-0,0000;COLDPOWER22;-236,4740;0,0000;0,0000;9,1283;-5,9802;-0,0000;VidyutVanika;-380,5588;-3036,8761;-3036,8761;14,6902;-14,6902;-86,8339
367;0,1354;-0,0539;25122,2626;722,9747;709,5753;default broker;11405,3259;0,0000;0,0000;-328,2253;316,0588;-0,0000;COLDPOWER22;-360,9970;0,0000;0,0000;10,3889;-10,0038;-0,0000;VidyutVanika;14077,9337;-2263,5849;-2263,5849;-405,1383;405,1383;-13,3995
368;0,1286;-0,0502;42716,7706;317,9213;400,7510;default broker;9683,1523;0,0000;0,0000;-72,0672;109,6194;-0,0000;COLDPOWER22;-307,6170;0,0000;0,0000;2,2895;-3,4824;-0,0000;VidyutVanika;33341,2353;-2529,5632;-2529,5632;-248,1435;248,1435;82,8297
369;0,1534;-0,0492;45281,2247;178,1274;298,7355;default broker;9542,7599;0,0000;0,0000;-37,5393;88,3743;-0,0000;COLDPOWER22;-301,4650;0,0000;0,0000;1,1859;-2,7918;-0,0000;VidyutVanika;36039,9298;-3158,1699;-3158,1699;-141,7740;141,7740;120,6081
370;0,1456;-0,0493;55919,5462;-371,2534;-217,6227;default broker;9412,3506;0,0000;0,0000;62,4892;-10,7711;-0,0000;COLDPOWER22;-288,5570;0,0000;0,0000;-1,9157;0,3302;-0,0000;VidyutVanika;46795,7526;-2560,5968;-2560,5968;310,6800;-310,6800;153,6307
371;0,1499;-0,0495;54824,5218;-292,2127;-157,4565;default broker;9624,8735;0,0000;0,0000;51,3002;-3,9852;-0,0000;COLDPOWER22;-272,8100;0,0000;0,0000;-1,4541;0,1130;-0,0000;VidyutVanika;45472,4583;-2330,4521;-2330,4521;242,3665;-242,3665;134,7561
