ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,0927;-0,0488;-18496,0779;2056,3189;1781,2808;default broker;217,4553;0,0000;0,0000;24,1758;24,1758;-0,0000;COLDPOWER22;-348,4200;0,0000;0,0000;-38,7359;-38,7359;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-12682,7120;0,0000;0,0000;-1410,0125;-1410,0125;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-5682,4012;2156,9059;2156,9059;-631,7463;-631,7463;275,0381
363;0,0899;-0,0351;-5941,0858;569,6151;328,5475;default broker;222,8287;0,0000;0,0000;21,3642;21,3642;-0,0000;COLDPOWER22;-279,8000;0,0000;0,0000;-26,8265;-26,8265;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-6410,8454;0,0000;0,0000;-614,6544;-614,6544;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;526,7308;2425,3989;2425,3989;50,5015;50,5015;241,0676
364;0,0994;-0,0508;-10952,2624;1208,2466;1035,7485;default broker;219,8251;0,0000;0,0000;24,2510;24,2510;-0,0000;COLDPOWER22;-330,5400;0,0000;0,0000;-36,4650;-36,4650;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-6408,3393;0,0000;0,0000;-706,9639;-706,9639;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-4433,2082;1439,4979;1439,4979;-489,0687;-489,0687;172,4981
365;0,1261;-0,0555;-995,0694;126,4843;0,0000;default broker;219,2153;0,0000;0,0000;27,8647;27,8647;-0,0000;COLDPOWER22;-371,4200;0,0000;0,0000;-47,2116;-47,2116;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-866,4560;0,0000;0,0000;-110,1362;-110,1362;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;23,5914;3146,1409;995,0694;2,9987;2,9987;126,4843
366;0,1122;-0,0531;-4979,9495;583,5706;165,9490;default broker;222,1143;0,0000;0,0000;26,0282;26,0282;-0,0000;COLDPOWER22;-300,6100;0,0000;0,0000;-35,2267;-35,2267;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;1023,6541;0,0000;0,0000;119,9559;119,9559;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-5925,1078;3519,9549;3519,9549;-694,3281;-694,3281;417,6217
367;0,1267;-0,0549;2699,1512;140,9256;80,0713;default broker;209,6733;0,0000;0,0000;-10,9473;1,4928;-0,0000;COLDPOWER22;-421,8500;0,0000;0,0000;22,0252;-3,0034;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;3605,2277;-1200,0000;-1200,0000;-188,2328;188,2328;-60,8543;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;-693,8997;-3474,1894;0,0000;36,2292;-4,9403;-0,0000
368;0,1266;-0,0401;9241,7439;284,7504;-0,0000;default broker;344,6516;0,0000;0,0000;-10,6192;8,5812;-0,0000;COLDPOWER22;-420,9000;0,0000;0,0000;12,9685;-10,4797;-0,0000;Mertacor22;-8189,2300;0,0000;0,0000;252,3211;-203,8976;-0,0000;VidyutVanika;11091,9234;-1200,0000;-1200,0000;-341,7569;341,7569;-27,3235;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;6415,2989;-2007,3169;0,0000;-197,6639;159,7298;-0,0000
369;0,1272;-0,0408;-2434,1407;315,5662;0,0000;default broker;305,2749;0,0000;0,0000;39,5764;39,5764;-0,0000;COLDPOWER22;-299,4700;0,0000;0,0000;-38,8238;-38,8238;-0,0000;Mertacor22;-8255,7900;0,0000;0,0000;-1070,2947;-1070,2947;-0,0000;VidyutVanika;9765,0956;1200,0000;0,0000;1265,9637;1265,9637;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-3949,2511;2534,9845;2434,1407;-511,9877;-511,9877;315,5662
370;0,1277;-0,0501;-8744,1468;1193,1423;903,5744;default broker;244,9963;0,0000;0,0000;33,4298;33,4298;-0,0000;COLDPOWER22;-387,3100;0,0000;0,0000;-52,8486;-52,8486;-0,0000;Mertacor22;-8727,4700;0,0000;0,0000;-1190,8668;-1190,8668;-0,0000;VidyutVanika;8519,7584;1200,0000;0,0000;1162,5245;1162,5245;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-8394,1215;2022,5178;2022,5178;-1145,3813;-1145,3813;289,5680
371;0,1275;-0,0517;-4599,5726;607,6610;314,4927;default broker;191,5628;0,0000;0,0000;25,3078;25,3078;-0,0000;COLDPOWER22;-275,1900;0,0000;0,0000;-36,3560;-36,3560;-0,0000;Mertacor22;-4735,7300;0,0000;0,0000;-625,6491;-625,6491;-0,0000;VidyutVanika;7027,7881;1200,0000;0,0000;928,4586;928,4586;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-6808,0035;2179,1570;2179,1570;-899,4223;-899,4223;293,1683
372;0,1128;-0,0481;-12604,7523;1580,3087;1246,4970;default broker;189,3121;0,0000;0,0000;23,7348;23,7348;-0,0000;COLDPOWER22;-393,3700;0,0000;0,0000;-49,3184;-49,3184;-0,0000;Mertacor22;-4478,4600;0,0000;0,0000;-561,4826;-561,4826;-0,0000;VidyutVanika;2536,1975;1200,0000;0,0000;317,9733;317,9733;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-10458,4320;2463,2733;2463,2733;-1311,2159;-1311,2159;333,8118
373;0,1176;-0,0494;-11636,9633;1503,7789;1007,3145;default broker;195,8285;0,0000;0,0000;25,3058;25,3058;-0,0000;COLDPOWER22;-287,3200;0,0000;0,0000;-37,1287;-37,1287;-0,0000;Mertacor22;-3972,2601;0,0000;0,0000;-513,3127;-513,3127;-0,0000;VidyutVanika;6935,4941;1200,0000;0,0000;896,2347;896,2347;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-14508,7059;3617,3872;3617,3872;-1874,8780;-1874,8780;496,4644
374;0,1277;-0,0500;-19913,1217;2938,4577;2330,8080;default broker;202,5241;0,0000;0,0000;29,8852;29,8852;-0,0000;COLDPOWER22;-538,1100;0,0000;0,0000;-79,4056;-79,4056;-0,0000;Mertacor22;-9357,6990;0,0000;0,0000;-1380,8585;-1380,8585;-0,0000;VidyutVanika;-3594,9884;1200,0000;0,0000;-530,4905;-530,4905;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-6624,8484;3710,4631;3710,4631;-977,5884;-977,5884;607,6497
375;0,1306;-0,0508;-18171,4690;2703,2145;2102,1782;default broker;209,0599;0,0000;0,0000;31,1001;31,1001;-0,0000;COLDPOWER22;-564,0700;0,0000;0,0000;-83,9119;-83,9119;-0,0000;Mertacor22;-8399,9440;0,0000;0,0000;-1249,5880;-1249,5880;-0,0000;VidyutVanika;-2072,4510;1200,0000;0,0000;-308,3009;-308,3009;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-7344,0638;3681,6634;3681,6634;-1092,5138;-1092,5138;601,0363
376;0,1183;-0,0365;-25695,2944;3699,5953;3233,1627;default broker;205,3363;0,0000;0,0000;29,5642;29,5642;-0,0000;COLDPOWER22;-518,0500;0,0000;0,0000;-74,5886;-74,5886;-0,0000;Mertacor22;-8051,5750;0,0000;0,0000;-1159,2616;-1159,2616;-0,0000;VidyutVanika;-7317,2206;1200,0000;0,0000;-1053,5297;-1053,5297;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-10013,7851;2795,0218;2795,0218;-1441,7796;-1441,7796;466,4326
377;0,1276;-0,0430;-13252,5559;1866,3711;1431,3135;default broker;311,8727;0,0000;0,0000;43,9214;43,9214;-0,0000;COLDPOWER22;-597,8300;0,0000;0,0000;-84,1930;-84,1930;-0,0000;Mertacor22;-6729,5750;0,0000;0,0000;-947,7330;-947,7330;-0,0000;VidyutVanika;-3113,6733;1200,0000;0,0000;-438,5018;-438,5018;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-3123,3503;2877,2449;2877,2449;-439,8646;-439,8646;435,0577
378;0,1271;-0,0357;-17492,6186;2528,6498;2179,6438;default broker;332,5655;0,0000;0,0000;48,0741;48,0741;-0,0000;COLDPOWER22;-485,3400;0,0000;0,0000;-70,1584;-70,1584;-0,0000;Mertacor22;-7435,4180;0,0000;0,0000;-1074,8287;-1074,8287;-0,0000;VidyutVanika;-5048,3484;1200,0000;0,0000;-729,7652;-729,7652;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-4856,0777;2183,1328;2183,1328;-701,9715;-701,9715;349,0059
379;0,1400;-0,0439;-16867,5081;2646,1251;2158,1732;default broker;298,4342;0,0000;0,0000;46,8175;46,8175;-0,0000;COLDPOWER22;-384,2200;0,0000;0,0000;-60,2753;-60,2753;-0,0000;Mertacor22;-6888,2820;0,0000;0,0000;-1080,6134;-1080,6134;-0,0000;VidyutVanika;-6828,5696;1200,0000;0,0000;-1071,2459;-1071,2459;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-3064,8707;2855,3700;2855,3700;-480,8079;-480,8079;487,9519
380;0,1145;-0,0401;-14059,1097;1806,9460;1431,9658;default broker;254,1958;0,0000;0,0000;32,6705;32,6705;-0,0000;COLDPOWER22;-177,9500;0,0000;0,0000;-22,8710;-22,8710;-0,0000;Mertacor22;-6520,8100;0,0000;0,0000;-838,0866;-838,0866;-0,0000;VidyutVanika;-6975,4792;1200,0000;0,0000;-896,5229;-896,5229;-0,0000;IS3;-8,3280;0,0000;0,0000;-1,0704;-1,0704;-0,0000;TUC_TAC22;-630,7384;2680,2727;2680,2727;-81,0656;-81,0656;374,9802
381;0,1313;-0,0380;-17026,8631;2525,9602;2270,3291;default broker;214,6698;0,0000;0,0000;31,8466;31,8466;-0,0000;COLDPOWER22;-240,4500;0,0000;0,0000;-35,6711;-35,6711;-0,0000;Mertacor22;-5656,5900;0,0000;0,0000;-839,1634;-839,1634;-0,0000;VidyutVanika;-11304,6788;1200,0000;0,0000;-1677,0657;-1677,0657;-0,0000;IS3;-9,5263;0,0000;0,0000;-1,4132;-1,4132;-0,0000;TUC_TAC22;-30,2877;1560,4586;1560,4586;-4,4932;-4,4932;255,6310
