ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,1010;-0,0359;-9519,0925;1052,0858;1052,0858;default broker;4199,1496;0,0000;0,0000;464,1058;464,1058;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-4399,7584;0,0000;0,0000;-486,2778;-486,2778;-0,0000;TUC_TAC22;-9318,4837;1878,7179;0,0000;-1029,9138;-1029,9138;-0,0000
363;0,1064;-0,0423;-7419,3362;844,8256;844,8256;default broker;3980,4870;0,0000;0,0000;453,2504;453,2504;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-1804,2972;0,0000;0,0000;-205,4519;-205,4519;-0,0000;TUC_TAC22;-9595,5261;1712,0257;0,0000;-1092,6242;-1092,6242;-0,0000
364;0,1152;-0,0502;-8815,1473;1093,6281;1093,6281;default broker;3725,3937;0,0000;0,0000;462,1812;462,1812;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-3024,5158;0,0000;0,0000;-375,2286;-375,2286;-0,0000;TUC_TAC22;-9516,0252;1754,3546;0,0000;-1180,5807;-1180,5807;-0,0000
365;0,1261;-0,0445;-3096,3080;400,0303;400,0303;default broker;4416,5637;0,0000;0,0000;570,6019;570,6019;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-1335,0162;0,0000;0,0000;-172,4786;-172,4786;-0,0000;TUC_TAC22;-6177,8555;3424,7580;0,0000;-798,1536;-798,1536;-0,0000
366;0,1336;-0,0537;1457,9797;76,2140;13,7951;default broker;4585,5284;0,0000;0,0000;-239,7026;239,7026;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-524,7151;-1200,0000;-1200,0000;27,4288;-27,4288;-62,4189;TUC_TAC22;-2602,8336;-6353,8188;0,0000;136,0598;86,8047;-0,0000
367;0,1619;-0,0584;9239,5490;454,1562;404,8195;default broker;5076,0407;0,0000;0,0000;-249,5052;195,2958;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;7600,3305;-1200,0000;-1200,0000;-373,5829;373,5829;-49,3367;TUC_TAC22;-3436,8222;-4631,3580;0,0000;168,9319;-132,2284;-0,0000
368;0,1427;-0,0554;32559,3896;742,7740;-0,0000;default broker;5209,6086;0,0000;0,0000;-118,8463;120,1707;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;31289,6114;-444,9474;-444,9474;-713,8067;713,8067;4,1387;TUC_TAC22;-3939,8303;-4179,3993;0,0000;89,8789;-90,8805;-0,0000
369;0,2243;-0,0608;18927,0217;792,9342;792,9015;default broker;5249,6900;0,0000;0,0000;-219,9320;219,9139;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;16642,1182;-1,4211;-1,4211;-697,2097;697,2097;-0,0326;TUC_TAC22;-2964,7865;-4782,9313;0,0000;124,2076;-124,1974;-0,0000
370;0,1767;-0,0381;31383,4858;211,8079;89,0172;default broker;4967,2424;0,0000;0,0000;-33,5240;-23,9962;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;-0,0000;-0,0000;VidyutVanika;29281,9161;-1,4211;-1,4211;-197,6244;-361,7700;145,7910;TUC_TAC22;-2865,6727;-4780,1375;-4780,1375;19,3405;13,8437;240,6624
371;0,1457;-0,0492;60337,5970;-672,0880;-168,9754;default broker;5161,4758;0,0000;0,0000;57,4926;-106,7928;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;-0,0000;-0,0000;VidyutVanika;57000,3134;-1,4211;-1,4211;634,9147;-2039,3184;772,7528;TUC_TAC22;-1824,1922;-4587,9623;-4587,9623;-20,3193;37,7432;1079,5328
