ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,0853;-0,0375;18877,7831;351,4548;351,4548;default broker;18877,7831;0,0000;0,0000;-351,4548;351,4548;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
363;0,0854;-0,0378;16348,6066;350,3572;350,3572;default broker;16348,6066;0,0000;0,0000;-350,3572;350,3572;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
364;0,0847;-0,0352;18874,0800;308,9020;308,9020;default broker;18874,0800;0,0000;0,0000;-308,9020;308,9020;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
365;0,0927;-0,0352;20287,5315;301,5347;301,5347;default broker;20287,5315;0,0000;0,0000;-301,5347;301,5347;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
366;0,1066;-0,0360;20213,2400;319,7903;319,7903;default broker;20213,2400;0,0000;0,0000;-319,7903;319,7903;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
367;0,1204;-0,0356;16903,7498;315,4743;315,4743;default broker;16903,7498;0,0000;0,0000;-315,4743;315,4743;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
368;0,1065;-0,0352;-23273,5572;3021,1018;3021,1018;default broker;16089,7342;0,0000;0,0000;2088,5817;2088,5817;-0,0000;Mertacor22;-39363,2914;0,0000;0,0000;-5109,6835;-5109,6835;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
369;0,1086;-0,0351;-64037,2955;11052,0973;11052,0973;default broker;-24070,2641;0,0000;0,0000;-4154,2494;-4154,2494;-0,0000;Mertacor22;-39967,0315;0,0000;0,0000;-6897,8478;-6897,8478;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
370;0,1068;-0,0351;-65241,6295;11223,4797;11223,4797;default broker;-28006,2177;0,0000;0,0000;-4817,8934;-4817,8934;-0,0000;Mertacor22;-37235,4117;0,0000;0,0000;-6405,5863;-6405,5863;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
371;0,1203;-0,0352;-82593,7866;16755,4697;16755,4697;default broker;-40259,5273;0,0000;0,0000;-8167,2886;-8167,2886;-0,0000;Mertacor22;-42334,2593;0,0000;0,0000;-8588,1811;-8588,1811;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
