ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,0887;-0,0484;-662,2213;59,1964;59,1964;default broker;17139,1819;0,0000;0,0000;1532,0817;1532,0817;-0,0000;VidyutVanika;-16937,3649;0,0000;0,0000;-1514,0411;-1514,0411;-0,0000;TUC_TAC22;-864,0382;1262,9103;0,0000;-77,2369;-77,2369;-0,0000
363;0,1002;-0,0482;-211,0827;21,1912;21,1912;default broker;16117,9295;0,0000;0,0000;1618,1279;1618,1279;-0,0000;VidyutVanika;-15043,4187;0,0000;0,0000;-1510,2545;-1510,2545;-0,0000;TUC_TAC22;-1285,5934;871,0372;0,0000;-129,0646;-129,0646;-0,0000
364;0,1185;-0,0464;-2437,3547;294,7942;224,8005;default broker;14899,6983;0,0000;0,0000;1802,0952;1802,0952;-0,0000;VidyutVanika;-16907,4830;0,0000;0,0000;-2044,9336;-2044,9336;-0,0000;TUC_TAC22;-429,5700;569,9075;569,9075;-51,9558;-51,9558;69,9937
365;0,1004;-0,0449;1525,1065;66,1485;30,2907;default broker;14176,8240;0,0000;0,0000;-614,8921;614,8921;-0,0000;VidyutVanika;-11146,5626;-840,0000;-840,0000;483,4604;-483,4604;-35,8579;TUC_TAC22;-1505,1549;-3116,7915;0,0000;65,2832;5,4944;-0,0000
366;0,1156;-0,0442;9003,5785;316,8473;294,1441;default broker;12086,2223;0,0000;0,0000;-425,3295;425,3295;-0,0000;VidyutVanika;-3058,9428;-840,0000;-840,0000;107,6481;-107,6481;-22,7033;TUC_TAC22;-23,7010;-2960,7863;0,0000;0,8341;-0,7145;-0,0000
367;0,1171;-0,0516;26285,2798;666,0711;-0,0000;default broker;9943,5884;0,0000;0,0000;-251,9713;252,1207;-0,0000;VidyutVanika;15331,8580;-311,4632;-311,4632;-388,5105;388,5105;0,1974;TUC_TAC22;1009,8334;-2448,3756;0,0000;-25,5893;25,6044;-0,0000
368;0,1202;-0,0508;46679,0125;190,0297;77,5969;default broker;8313,0645;0,0000;0,0000;-33,8424;30,5176;-0,0000;VidyutVanika;37641,1473;-160,9947;-160,9947;-153,2366;-185,5050;395,9801;TUC_TAC22;724,8008;-2185,3411;-2185,3411;-2,9507;-6,1031;477,4837
369;0,1135;-0,0515;49222,4332;114,2667;68,6625;default broker;8004,5227;0,0000;0,0000;-18,5820;31,1877;-0,0000;VidyutVanika;40354,5218;-160,9947;-160,9947;-93,6804;-215,2658;448,5364;TUC_TAC22;863,3886;-2650,9203;-2650,9203;-2,0043;-8,4568;558,3149
370;0,1168;-0,0507;49032,6215;83,4902;58,3845;default broker;8179,8074;0,0000;0,0000;-13,9281;27,1891;-0,0000;VidyutVanika;40427,7049;-60,3211;-60,3211;-68,8382;-254,2811;469,0812;TUC_TAC22;425,1092;-2270,1556;-2270,1556;-0,7239;-4,3981;568,5224
371;0,1122;-0,0501;57181,4213;-402,9559;-109,8848;default broker;8917,2078;0,0000;0,0000;62,8393;5,2451;-0,0000;VidyutVanika;47753,4755;-1,1842;-1,1842;336,5174;-585,7592;734,9743;TUC_TAC22;510,7380;-2317,0848;-2317,0848;3,5992;-8,8261;878,3520
