ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,1464;-0,0487;11931,9855;438,5463;438,5463;default broker;43616,5219;0,0000;0,0000;-1603,0749;1603,0749;-0,0000;COLDPOWER22;-31684,5364;0,0000;0,0000;1164,5285;-1164,5285;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000
363;0,0770;-0,0429;-13757,7966;1248,1161;1248,1161;default broker;25224,3386;0,0000;0,0000;2288,3681;2288,3681;-0,0000;COLDPOWER22;-38982,1352;0,0000;0,0000;-3536,4842;-3536,4842;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
364;0,0895;-0,0351;-30746,0605;3695,5994;3695,5994;default broker;15794,9284;0,0000;0,0000;1898,5108;1898,5108;-0,0000;COLDPOWER22;-46540,9888;0,0000;0,0000;-5594,1101;-5594,1101;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
365;0,0966;-0,0366;-36158,9415;4800,6563;4800,6563;default broker;15004,5199;0,0000;0,0000;1992,0811;1992,0811;-0,0000;COLDPOWER22;-51163,4614;0,0000;0,0000;-6792,7373;-6792,7373;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
366;0,1125;-0,0354;-21073,0984;2815,7909;2815,7909;default broker;12624,4705;0,0000;0,0000;1686,8838;1686,8838;-0,0000;COLDPOWER22;-33697,5689;0,0000;0,0000;-4502,6747;-4502,6747;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
367;0,0895;-0,0362;-32248,1851;3926,4322;3926,4322;default broker;9988,6043;0,0000;0,0000;1216,1794;1216,1794;-0,0000;COLDPOWER22;-42236,7894;0,0000;0,0000;-5142,6116;-5142,6116;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000
368;0,1257;-0,0351;-25468,3583;3850,9410;3850,9410;default broker;8381,7552;0,0000;0,0000;1267,3626;1267,3626;-0,0000;COLDPOWER22;-17933,8543;0,0000;0,0000;-2711,6870;-2711,6870;-0,0000;Mertacor22;-15916,2592;0,0000;0,0000;-2406,6167;-2406,6167;-0,0000
369;0,1193;-0,0359;-2720,8031;332,0748;332,0748;default broker;8059,4904;0,0000;0,0000;983,6632;983,6632;-0,0000;COLDPOWER22;4761,6927;0,0000;0,0000;581,1660;581,1660;-0,0000;Mertacor22;-15541,9863;0,0000;0,0000;-1896,9041;-1896,9041;-0,0000
370;0,1255;-0,0353;-12068,1444;1659,9125;1659,9125;default broker;8087,3987;0,0000;0,0000;1112,3810;1112,3810;-0,0000;COLDPOWER22;-4087,3931;0,0000;0,0000;-562,2003;-562,2003;-0,0000;Mertacor22;-16068,1501;0,0000;0,0000;-2210,0932;-2210,0932;-0,0000
371;0,1122;-0,0351;-19837,9584;2619,1120;2619,1120;default broker;8705,7182;0,0000;0,0000;1149,3749;1149,3749;-0,0000;COLDPOWER22;-13978,4666;0,0000;0,0000;-1845,5110;-1845,5110;-0,0000;Mertacor22;-14565,2099;0,0000;0,0000;-1922,9759;-1922,9759;-0,0000
372;0,1121;-0,0355;-17719,7435;2299,9485;2299,9485;default broker;9681,0491;0,0000;0,0000;1256,5596;1256,5596;-0,0000;COLDPOWER22;-11597,6381;0,0000;0,0000;-1505,3248;-1505,3248;-0,0000;Mertacor22;-15803,1545;0,0000;0,0000;-2051,1833;-2051,1833;-0,0000
373;0,1267;-0,0354;-19626,6504;2872,7866;2872,7866;default broker;11772,1777;0,0000;0,0000;1723,1139;1723,1139;-0,0000;COLDPOWER22;-19907,5625;0,0000;0,0000;-2913,9042;-2913,9042;-0,0000;Mertacor22;-11491,2656;0,0000;0,0000;-1681,9964;-1681,9964;-0,0000
374;0,1158;-0,0353;-27475,4600;3935,5934;3935,5934;default broker;13756,6154;0,0000;0,0000;1970,5018;1970,5018;-0,0000;COLDPOWER22;-23422,0068;0,0000;0,0000;-3354,9755;-3354,9755;-0,0000;Mertacor22;-17810,0687;0,0000;0,0000;-2551,1197;-2551,1197;-0,0000
375;0,1172;-0,0376;-32658,0234;4895,0741;4895,0741;default broker;15941,9633;0,0000;0,0000;2389,5228;2389,5228;-0,0000;COLDPOWER22;-34604,4049;0,0000;0,0000;-5186,8150;-5186,8150;-0,0000;Mertacor22;-13995,5818;0,0000;0,0000;-2097,7819;-2097,7819;-0,0000
376;0,1122;-0,0355;-23601,7178;3204,9278;3204,9278;default broker;17628,3363;0,0000;0,0000;2393,7895;2393,7895;-0,0000;COLDPOWER22;-31450,0072;0,0000;0,0000;-4270,6638;-4270,6638;-0,0000;Mertacor22;-9780,0469;0,0000;0,0000;-1328,0535;-1328,0535;-0,0000
377;0,1991;-0,0363;-41329,3301;9937,4224;9937,4224;default broker;19781,7445;0,0000;0,0000;4756,4176;4756,4176;-0,0000;COLDPOWER22;-46918,8031;0,0000;0,0000;-11281,3821;-11281,3821;-0,0000;Mertacor22;-14192,2715;0,0000;0,0000;-3412,4578;-3412,4578;-0,0000
378;0,1146;-0,0364;-29938,1080;4327,2447;4327,2447;default broker;20987,8782;0,0000;0,0000;3033,5813;3033,5813;-0,0000;COLDPOWER22;-44471,2396;0,0000;0,0000;-6427,8589;-6427,8589;-0,0000;Mertacor22;-6454,7465;0,0000;0,0000;-932,9670;-932,9670;-0,0000
379;0,1404;-0,0355;-37556,0133;6683,8066;6683,8066;default broker;21550,9531;0,0000;0,0000;3835,4018;3835,4018;-0,0000;COLDPOWER22;-50282,1279;0,0000;0,0000;-8948,6606;-8948,6606;-0,0000;Mertacor22;-8824,8385;0,0000;0,0000;-1570,5478;-1570,5478;-0,0000
380;0,1155;-0,0380;-33600,6748;5009,6256;5009,6256;default broker;22592,4244;0,0000;0,0000;3368,3725;3368,3725;-0,0000;COLDPOWER22;-47516,3163;0,0000;0,0000;-7084,3504;-7084,3504;-0,0000;Mertacor22;-8676,7829;0,0000;0,0000;-1293,6476;-1293,6476;-0,0000
381;0,1026;-0,0361;-25343,6495;3242,1767;3242,1767;default broker;22353,8801;0,0000;0,0000;2859,6998;2859,6998;-0,0000;COLDPOWER22;-43511,5617;0,0000;0,0000;-5566,3716;-5566,3716;-0,0000;Mertacor22;-4185,9679;0,0000;0,0000;-535,5049;-535,5049;-0,0000
382;0,1278;-0,0382;-22430,8142;3368,7651;3368,7651;default broker;21978,5833;0,0000;0,0000;3300,8469;3300,8469;-0,0000;COLDPOWER22;-39079,8689;0,0000;0,0000;-5869,1983;-5869,1983;-0,0000;Mertacor22;-5329,5286;0,0000;0,0000;-800,4136;-800,4136;-0,0000
383;0,1170;-0,0357;-18943,1937;2574,6613;2574,6613;default broker;21500,7422;0,0000;0,0000;2922,2702;2922,2702;-0,0000;COLDPOWER22;-34996,7257;0,0000;0,0000;-4756,5747;-4756,5747;-0,0000;Mertacor22;-5447,2102;0,0000;0,0000;-740,3568;-740,3568;-0,0000
384;0,1012;-0,0351;-23456,7087;2924,3368;2924,3368;default broker;18877,6383;0,0000;0,0000;2353,4663;2353,4663;-0,0000;COLDPOWER22;-34333,0991;0,0000;0,0000;-4280,2913;-4280,2913;-0,0000;Mertacor22;-8001,2479;0,0000;0,0000;-997,5118;-997,5118;-0,0000
385;0,1258;-0,0352;-19478,6437;2829,2119;2829,2119;default broker;17290,7128;0,0000;0,0000;2511,4218;2511,4218;-0,0000;COLDPOWER22;-31735,6912;0,0000;0,0000;-4609,5096;-4609,5096;-0,0000;Mertacor22;-5033,6653;0,0000;0,0000;-731,1241;-731,1241;-0,0000
386;0,1141;-0,0364;-25159,3284;3502,6313;3502,6313;default broker;15702,3327;0,0000;0,0000;2186,0473;2186,0473;-0,0000;COLDPOWER22;-16019,0344;0,0000;0,0000;-2230,1379;-2230,1379;-0,0000;Mertacor22;-24842,6267;0,0000;0,0000;-3458,5407;-3458,5407;-0,0000
387;0,1194;-0,0355;-16255,5330;2205,7925;2205,7925;default broker;13499,9102;0,0000;0,0000;1831,8686;1831,8686;-0,0000;COLDPOWER22;-15613,9552;0,0000;0,0000;-2118,7337;-2118,7337;-0,0000;Mertacor22;-14141,4880;0,0000;0,0000;-1918,9274;-1918,9274;-0,0000
388;0,1138;-0,0378;-23143,6859;3168,2498;3168,2498;default broker;12498,9237;0,0000;0,0000;1711,0374;1711,0374;-0,0000;COLDPOWER22;-15310,9707;0,0000;0,0000;-2095,9920;-2095,9920;-0,0000;Mertacor22;-20331,6388;0,0000;0,0000;-2783,2953;-2783,2953;-0,0000
389;0,1065;-0,0377;-24889,7520;3269,9367;3269,9367;default broker;10929,5943;0,0000;0,0000;1435,8955;1435,8955;-0,0000;COLDPOWER22;-14634,0117;0,0000;0,0000;-1922,5701;-1922,5701;-0,0000;Mertacor22;-21185,3346;0,0000;0,0000;-2783,2621;-2783,2621;-0,0000
390;0,1368;-0,0351;-25454,7587;4130,8851;4130,8851;default broker;9280,8880;0,0000;0,0000;1506,1342;1506,1342;-0,0000;COLDPOWER22;-9182,9330;0,0000;0,0000;-1490,2377;-1490,2377;-0,0000;Mertacor22;-25552,7137;0,0000;0,0000;-4146,7815;-4146,7815;-0,0000
391;0,1400;-0,0354;-28738,4958;4847,9915;4847,9915;default broker;7106,9663;0,0000;0,0000;1198,8976;1198,8976;-0,0000;COLDPOWER22;1060,9464;0,0000;0,0000;178,9745;178,9745;-0,0000;Mertacor22;-36906,4085;0,0000;0,0000;-6225,8636;-6225,8636;-0,0000
