ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,1373;-0,0579;-23739,3593;3823,4416;2948,7235;default broker;18224,0269;0,0000;0,0000;2935,1467;2935,1467;-0,0000;COLDPOWER22;-4158,8300;0,0000;0,0000;-669,8177;-669,8177;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-37804,5562;4861,2381;4861,2381;-6088,7705;-6088,7705;874,7180
363;0,1269;-0,0517;-32659,8674;5210,7845;4529,2729;default broker;16856,6175;0,0000;0,0000;2689,4231;2689,4231;-0,0000;COLDPOWER22;-4173,9100;0,0000;0,0000;-665,9349;-665,9349;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-45342,5749;3613,6588;3613,6588;-7234,2727;-7234,2727;681,5116
364;0,1265;-0,0380;-2733,8052;353,3321;0,0000;default broker;15453,8150;0,0000;0,0000;1997,3364;1997,3364;-0,0000;COLDPOWER22;-4088,1500;0,0000;0,0000;-528,3751;-528,3751;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-14099,4702;2782,3792;2733,8052;-1822,2934;-1822,2934;353,3321
365;0,1284;-0,0375;-2349,1090;307,1869;0,0000;default broker;14612,3969;0,0000;0,0000;1910,8255;1910,8255;-0,0000;COLDPOWER22;-4819,1600;0,0000;0,0000;-630,1891;-630,1891;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-12142,3459;4026,1426;2349,1090;-1587,8233;-1587,8233;307,1869
366;0,2298;-0,0517;-27108,7071;6965,3224;5612,5441;default broker;12339,5388;0,0000;0,0000;3170,5262;3170,5262;-0,0000;COLDPOWER22;-3500,7900;0,0000;0,0000;-899,4944;-899,4944;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-35947,4559;4845,1252;4845,1252;-9236,3542;-9236,3542;1352,7783
367;0,2856;-0,0633;-36207,4246;11652,5346;9751,7191;default broker;10834,5444;0,0000;0,0000;3486,8513;3486,8513;-0,0000;COLDPOWER22;6297,0800;0,0000;0,0000;2026,5717;2026,5717;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-53339,0490;5390,1752;5390,1752;-17165,9576;-17165,9576;1900,8155
368;0,2166;-0,0365;16073,4272;327,7651;-0,0000;default broker;8801,2947;0,0000;0,0000;-179,4737;179,4737;-0,0000;COLDPOWER22;15805,6400;0,0000;0,0000;-322,3044;322,3044;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;-8533,5076;-5396,9823;0,0000;174,0130;-174,0130;-0,0000
369;0,2219;-0,0465;21284,7791;537,0901;-0,0000;default broker;8061,3952;0,0000;0,0000;-203,4175;203,4175;-0,0000;COLDPOWER22;20658,3100;0,0000;0,0000;-521,2821;521,2821;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;-7434,9261;-4036,3784;0,0000;187,6094;-187,6094;-0,0000
370;0,1732;-0,0362;25322,6833;275,7636;7,1350;default broker;8435,2249;0,0000;0,0000;-91,8595;-43,7321;-0,0000;COLDPOWER22;25347,0600;0,0000;0,0000;-276,0291;-131,4108;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;-0,0000;-0,0000;TUC_TAC22;-8459,6016;-3692,9777;-3692,9777;92,1249;43,8585;50,0049
371;0,2795;-0,0475;1169,7825;54,1963;54,1963;default broker;8954,6985;0,0000;0,0000;-414,8731;414,8731;-0,0000;COLDPOWER22;36033,4900;0,0000;0,0000;-1669,4394;1669,4394;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;-43818,4061;-4274,0007;0,0000;2030,1163;-2030,1163;-0,0000
372;0,1571;-0,0390;28753,7864;294,1181;-0,0000;default broker;9442,3141;0,0000;0,0000;-96,5840;-59,7898;-0,0000;COLDPOWER22;29291,7500;0,0000;0,0000;-299,6208;-185,4788;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;-0,0000;-0,0000;TUC_TAC22;-9980,2777;-4996,0214;-4843,3848;102,0867;63,1963;66,2650
373;0,1415;-0,0362;16553,3572;325,5634;-0,0000;default broker;11343,4750;0,0000;0,0000;-223,0980;223,0980;-0,0000;COLDPOWER22;17252,2400;0,0000;0,0000;-339,3087;339,3087;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;-12042,3578;-2453,5737;0,0000;236,8433;-236,8433;-0,0000
374;0,2208;-0,0375;6412,9277;199,4580;199,4580;default broker;13359,3984;0,0000;0,0000;-415,5105;415,5105;-0,0000;COLDPOWER22;-8975,0336;0,0000;0,0000;279,1458;-279,1458;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;2028,5629;-2606,1289;0,0000;-63,0933;63,0933;-0,0000
375;0,1453;-0,0374;7403,9816;221,9976;221,9976;default broker;15770,6211;0,0000;0,0000;-472,8591;472,8591;-0,0000;COLDPOWER22;-23415,6374;0,0000;0,0000;702,0838;-702,0838;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;15048,9979;-1660,9583;0,0000;-451,2223;451,2223;-0,0000
376;0,1897;-0,0356;7773,3652;216,6391;216,6391;default broker;18798,8061;0,0000;0,0000;-523,9116;523,9116;-0,0000;COLDPOWER22;-26210,8066;0,0000;0,0000;730,4797;-730,4797;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;TUC_TAC22;15185,3657;-1097,9611;0,0000;-423,2072;423,2072;-0,0000
377;0,2144;-0,0475;-36214,8843;9075,6501;6777,4764;default broker;20713,1538;0,0000;0,0000;5190,8308;5190,8308;-0,0000;COLDPOWER22;-40648,8281;0,0000;0,0000;-10186,8209;-10186,8209;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-16279,2100;8249,8808;8249,8808;-4079,6600;-4079,6600;2298,1737
378;0,2321;-0,0475;-32957,3201;8734,7998;6209,5678;default broker;21692,2971;0,0000;0,0000;5749,1893;5749,1893;-0,0000;COLDPOWER22;-42063,2640;0,0000;0,0000;-11148,1816;-11148,1816;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-12586,3532;8729,9410;8729,9410;-3335,8075;-3335,8075;2525,2320
379;0,2858;-0,0517;-44002,1143;14510,3594;10675,8599;default broker;23500,2277;0,0000;0,0000;7749,5537;7749,5537;-0,0000;COLDPOWER22;-41551,0704;0,0000;0,0000;-13702,0907;-13702,0907;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;TUC_TAC22;-25951,2717;10557,2546;10557,2546;-8557,8224;-8557,8224;3834,4995
380;0,2307;-0,0508;-22580,3090;5719,0099;2548,4698;default broker;24354,9272;0,0000;0,0000;6168,4749;6168,4749;-0,0000;COLDPOWER22;-46460,7150;0,0000;0,0000;-11767,3008;-11767,3008;-0,0000;IS3;-533,7124;0,0000;0,0000;-135,1756;-135,1756;-0,0000;TUC_TAC22;59,1911;12017,0183;12017,0183;14,9916;14,9916;3170,5401
381;0,3034;-0,0378;-30670,3551;10246,6131;7082,7278;default broker;23379,9466;0,0000;0,0000;7810,9714;7810,9714;-0,0000;COLDPOWER22;-43375,2651;0,0000;0,0000;-14491,1775;-14491,1775;-0,0000;IS3;-97,7500;0,0000;0,0000;-32,6572;-32,6572;-0,0000;TUC_TAC22;-10577,2866;8890,6086;8890,6086;-3533,7499;-3533,7499;3163,8853
382;0,3562;-0,0361;-23024,1205;8730,7651;4884,4460;default broker;23060,4276;0,0000;0,0000;8744,5328;8744,5328;-0,0000;COLDPOWER22;-35814,3564;0,0000;0,0000;-13580,8329;-13580,8329;-0,0000;IS3;-88,6353;0,0000;0,0000;-33,6106;-33,6106;-0,0000;TUC_TAC22;-10181,5563;9801,4500;9801,4500;-3860,8544;-3860,8544;3846,3191
383;0,3332;-0,0364;-18435,1514;6483,2861;2605,4130;default broker;22787,6035;0,0000;0,0000;8013,9593;8013,9593;-0,0000;COLDPOWER22;-31893,3135;0,0000;0,0000;-11216,2613;-11216,2613;-0,0000;IS3;380,3738;0,0000;0,0000;133,7701;133,7701;-0,0000;TUC_TAC22;-9709,8152;10792,1452;10792,1452;-3414,7542;-3414,7542;3877,8731
384;0,3882;-0,0355;-19771,4809;8067,1799;3619,8718;default broker;22045,2016;0,0000;0,0000;8994,9057;8994,9057;-0,0000;COLDPOWER22;-31713,2225;0,0000;0,0000;-12939,6615;-12939,6615;-0,0000;IS3;-256,8975;0,0000;0,0000;-104,8196;-104,8196;-0,0000;TUC_TAC22;-9846,5625;10661,6621;10661,6621;-4017,6045;-4017,6045;4447,3081
385;0,3226;-0,0359;-19880,3688;6808,9827;4265,1795;default broker;19922,8213;0,0000;0,0000;6823,5225;6823,5225;-0,0000;COLDPOWER22;-29780,8535;0,0000;0,0000;-10199,8769;-10199,8769;-0,0000;IS3;103,0183;0,0000;0,0000;35,2835;35,2835;-0,0000;TUC_TAC22;-10125,3548;7161,2672;7161,2672;-3467,9118;-3467,9118;2543,8032
386;0,4394;-0,0353;-24824,5508;11524,5004;8963,5757;default broker;18658,4913;0,0000;0,0000;8661,9811;8661,9811;-0,0000;COLDPOWER22;-34547,4544;0,0000;0,0000;-16038,2419;-16038,2419;-0,0000;IS3;-333,0475;0,0000;0,0000;-154,6133;-154,6133;-0,0000;TUC_TAC22;-8602,5403;5293,6945;5293,6945;-3993,6263;-3993,6263;2560,9247
387;0,2740;-0,0350;-25739,6018;7714,7461;6468,4260;default broker;16598,2893;0,0000;0,0000;4974,8861;4974,8861;-0,0000;COLDPOWER22;-35511,0984;0,0000;0,0000;-10643,4867;-10643,4867;-0,0000;IS3;111,1367;0,0000;0,0000;33,3102;33,3102;-0,0000;TUC_TAC22;-6937,9294;3875,5314;3875,5314;-2079,4558;-2079,4558;1246,3201
388;0,4242;-0,0358;-29249,4844;13262,6910;11645,3185;default broker;15630,2022;0,0000;0,0000;7087,2546;7087,2546;-0,0000;COLDPOWER22;-38660,6412;0,0000;0,0000;-17530,0231;-17530,0231;-0,0000;IS3;-813,9068;0,0000;0,0000;-369,0525;-369,0525;-0,0000;TUC_TAC22;-5405,1387;3374,3876;3374,3876;-2450,8700;-2450,8700;1617,3724
389;0,2986;-0,0372;-31013,3878;10222,2987;8659,5851;default broker;15125,0503;0,0000;0,0000;4985,3561;4985,3561;-0,0000;COLDPOWER22;-40179,1811;0,0000;0,0000;-13243,4288;-13243,4288;-0,0000;IS3;-1429,7004;0,0000;0,0000;-471,2424;-471,2424;-0,0000;TUC_TAC22;-4529,5566;4386,7386;4386,7386;-1492,9836;-1492,9836;1562,7137
390;0,3742;-0,0350;-22894,7577;9091,2918;7505,3876;default broker;12602,3695;0,0000;0,0000;5004,2818;5004,2818;-0,0000;COLDPOWER22;-32833,0253;0,0000;0,0000;-13037,6839;-13037,6839;-0,0000;IS3;579,5012;0,0000;0,0000;230,1145;230,1145;-0,0000;TUC_TAC22;-3243,6031;3810,6700;3810,6700;-1288,0041;-1288,0041;1585,9042
391;0,3126;-0,0364;-21668,9558;7242,5947;5474,6875;default broker;10091,0636;0,0000;0,0000;3372,8198;3372,8198;-0,0000;COLDPOWER22;-28128,4086;0,0000;0,0000;-9401,5912;-9401,5912;-0,0000;IS3;92,4138;0,0000;0,0000;30,8882;30,8882;-0,0000;TUC_TAC22;-3724,0245;5038,6592;5038,6592;-1244,7116;-1244,7116;1767,9072
392;0,3686;-0,0356;-20706,5264;8060,6582;6154,0995;default broker;8722,6436;0,0000;0,0000;3395,5598;3395,5598;-0,0000;COLDPOWER22;-20321,3397;0,0000;0,0000;-7910,7123;-7910,7123;-0,0000;IS3;-367,3680;0,0000;0,0000;-143,0094;-143,0094;-0,0000;TUC_TAC22;-8740,4623;4704,2614;4704,2614;-3402,4963;-3402,4963;1906,5586
393;0,3438;-0,0377;-8445,0250;2974,4207;1275,5036;default broker;8152,1465;0,0000;0,0000;2871,2660;2871,2660;-0,0000;COLDPOWER22;-8379,5359;0,0000;0,0000;-2951,3548;-2951,3548;-0,0000;IS3;134,2839;0,0000;0,0000;47,2961;47,2961;-0,0000;TUC_TAC22;-8351,9195;4773,8346;4773,8346;-2941,6280;-2941,6280;1698,9170
394;0,3893;-0,0359;-4537,2654;1786,7226;28,4577;default broker;8227,9457;0,0000;0,0000;3240,0697;3240,0697;-0,0000;COLDPOWER22;-3744,2837;0,0000;0,0000;-1474,4556;-1474,4556;-0,0000;IS3;-538,3500;0,0000;0,0000;-211,9960;-211,9960;-0,0000;TUC_TAC22;-8482,5773;4464,1703;4464,1703;-3340,3407;-3340,3407;1758,2649
395;0,2547;-0,0351;-2963,6016;763,4971;0,0000;default broker;8825,4687;0,0000;0,0000;2273,6591;2273,6591;-0,0000;COLDPOWER22;-2592,7507;0,0000;0,0000;-667,9567;-667,9567;-0,0000;IS3;-787,8923;0,0000;0,0000;-202,9806;-202,9806;-0,0000;TUC_TAC22;-8408,4272;4422,8586;2963,6016;-2166,2190;-2166,2190;763,4971
