ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,1022;-0,0374;-21245,7871;2622,7816;2622,7816;default broker;3638,5859;0,0000;0,0000;449,1816;449,1816;-0,0000;COLDPOWER22;-115,1300;0,0000;0,0000;-14,2127;-14,2127;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-24769,2431;106,4391;0,0000;-3057,7505;-3057,7505;-0,0000
363;0,0857;-0,0470;-14546,9034;1458,4346;1458,4346;default broker;3722,1337;0,0000;0,0000;373,1714;373,1714;-0,0000;COLDPOWER22;-114,4200;0,0000;0,0000;-11,4715;-11,4715;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-18154,6172;110,9522;0,0000;-1820,1346;-1820,1346;-0,0000
364;0,0959;-0,0351;-18146,5496;2070,1735;2070,1735;default broker;3672,1551;0,0000;0,0000;418,9225;418,9225;-0,0000;COLDPOWER22;-115,7900;0,0000;0,0000;-13,2094;-13,2094;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-21702,9147;113,7994;0,0000;-2475,8866;-2475,8866;-0,0000
365;0,1084;-0,0385;-6942,4926;800,4497;800,4497;default broker;4240,5395;0,0000;0,0000;488,9222;488,9222;-0,0000;COLDPOWER22;-91,3800;0,0000;0,0000;-10,5359;-10,5359;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-11091,6521;100,5164;0,0000;-1278,8360;-1278,8360;-0,0000
366;0,1150;-0,0505;626,7082;31,2700;-0,0000;default broker;4361,3994;0,0000;0,0000;-217,6146;217,6146;-0,0000;COLDPOWER22;-119,8900;0,0000;0,0000;5,9820;5,9820;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-3614,8012;-1625,7751;-626,7082;180,3626;-180,3626;-31,2700
367;0,1180;-0,0524;22233,7957;671,3575;653,6891;default broker;4852,4573;0,0000;0,0000;-146,5217;138,8095;-0,0000;COLDPOWER22;-152,0800;0,0000;0,0000;4,5921;-4,3504;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;17533,4184;-1808,4373;-1808,4373;-529,4279;529,4279;-17,6684
368;0,1128;-0,0441;32144,7853;385,3530;418,7286;default broker;4959,7306;0,0000;0,0000;-59,4575;69,7567;-0,0000;COLDPOWER22;-124,3700;0,0000;0,0000;1,4910;-1,7492;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;27309,4247;-1820,1626;-1820,1626;-327,3865;327,3865;33,3756
369;0,1289;-0,0540;30158,1457;720,0837;724,7715;default broker;4801,6614;0,0000;0,0000;-114,6489;116,1416;-0,0000;COLDPOWER22;-124,9300;0,0000;0,0000;2,9829;-3,0218;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;25481,4142;-865,5979;-865,5979;-608,4178;608,4178;4,6878
370;0,1276;-0,0466;33318,9828;441,1859;453,2795;default broker;4950,2030;0,0000;0,0000;-65,5470;69,1405;-0,0000;COLDPOWER22;-125,3900;0,0000;0,0000;1,6603;-1,7513;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;28494,1698;-621,5837;-621,5837;-377,2992;377,2992;12,0936
371;0,1312;-0,0493;44749,8318;205,3145;229,8920;default broker;4919,2898;0,0000;0,0000;-22,5699;27,9735;-0,0000;COLDPOWER22;-125,1400;0,0000;0,0000;0,5741;-0,7116;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;39955,6819;-621,5837;-621,5837;-183,3187;183,3187;24,5775
372;0,1202;-0,0485;49433,0751;-44,8059;-13,9021;default broker;5059,7868;0,0000;0,0000;4,5862;1,7402;-0,0000;COLDPOWER22;-125,1900;0,0000;0,0000;-0,1135;-0,0431;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;44498,4784;-621,5837;-621,5837;40,3332;-40,3332;30,9038
373;0,1192;-0,0465;43466,8464;132,6298;157,3651;default broker;5397,4457;0,0000;0,0000;-16,4692;22,6121;-0,0000;COLDPOWER22;-124,8400;0,0000;0,0000;0,3809;-0,5230;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;38194,2406;-621,5837;-621,5837;-116,5416;116,5416;24,7353
