ts;pPlus;pMinus;totalImbalance;rmBase;rmActual;default broker;netLoad;regOffered;regUsed;baseCost;p1;p2;COLDPOWER22;netLoad;regOffered;regUsed;baseCost;p1;p2;Mertacor22;netLoad;regOffered;regUsed;baseCost;p1;p2;IS3;netLoad;regOffered;regUsed;baseCost;p1;p2;VidyutVanika;netLoad;regOffered;regUsed;baseCost;p1;p2;TUC_TAC22;netLoad;regOffered;regUsed;baseCost;p1;p2
362;0,0944;-0,0493;-261,4405;24,7597;2,5832;default broker;14150,2089;0,0000;0,0000;1340,0925;1340,0925;-0,0000;COLDPOWER22;304,4300;0,0000;0,0000;28,8310;28,8310;-0,0000;Mertacor22;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;-5506,0185;0,0000;0,0000;-521,4463;-521,4463;-0,0000;TUC_TAC22;-9210,0609;234,0963;234,0963;-872,2368;-872,2368;22,1764
363;0,0988;-0,0491;272,8846;13,3245;-0,0000;default broker;12697,3329;0,0000;0,0000;-619,9890;619,9890;-0,0000;COLDPOWER22;-486,0800;0,0000;0,0000;23,7345;23,7345;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-3889,6486;-1120,0000;-272,8846;189,9249;-189,9249;-13,3245;TUC_TAC22;-8048,7197;-9624,0685;0,0000;393,0052;393,0052;-0,0000
364;0,1212;-0,0512;6178,9299;278,3310;233,5464;default broker;12226,8070;0,0000;0,0000;-550,7588;550,7588;-0,0000;COLDPOWER22;160,3900;0,0000;0,0000;-7,2248;7,2248;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-2249,9508;-1120,0000;-1120,0000;101,3495;-101,3495;-44,7846;TUC_TAC22;-3958,3162;-9688,0593;0,0000;178,3031;-120,9237;-0,0000
365;0,1125;-0,0498;9069,6030;369,6074;332,8683;default broker;11423,9323;0,0000;0,0000;-465,5518;465,5518;-0,0000;COLDPOWER22;83,0800;0,0000;0,0000;-3,3857;3,3857;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-844,4250;-1120,0000;-1120,0000;34,4123;-34,4123;-36,7390;TUC_TAC22;-1592,9843;-8839,8739;0,0000;64,9178;-52,0121;-0,0000
366;0,1304;-0,0489;8433,1317;341,3049;336,6794;default broker;10040,6859;0,0000;0,0000;-406,3656;406,3656;-0,0000;COLDPOWER22;297,5000;0,0000;0,0000;-12,0404;12,0404;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;-1493,2832;-143,7259;-143,7259;60,4360;-60,4360;-4,6255;TUC_TAC22;-411,7709;-7933,8696;0,0000;16,6652;-16,2134;-0,0000
367;0,1444;-0,0369;18451,7661;341,0398;-0,0000;default broker;7483,6370;0,0000;0,0000;-138,3183;131,6316;-0,0000;COLDPOWER22;67,5300;0,0000;0,0000;-1,2481;1,1878;-0,0000;Mertacor22;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;7997,0712;-1,3263;-1,3263;-147,8080;140,6748;-0,0283;TUC_TAC22;2903,5279;-7164,5062;-2851,8882;-53,6652;1,2949;-8,2293
368;0,1420;-0,0514;23840,6443;656,2959;-0,0000;default broker;6195,2154;0,0000;0,0000;-170,5447;170,3853;-0,0000;COLDPOWER22;-89,3300;0,0000;0,0000;2,4591;-2,4568;-0,0000;Mertacor22;-8348,2240;0,0000;0,0000;229,8136;-229,5990;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;17925,0931;-81,3263;-81,3263;-493,4499;493,4499;-0,3065;TUC_TAC22;8157,8897;-7364,7089;0,0000;-224,5740;224,3642;-0,0000
369;0,2456;-0,0621;15456,1324;720,3731;717,8330;default broker;6328,0321;0,0000;0,0000;-294,9343;292,8544;-0,0000;COLDPOWER22;-880,4510;0,0000;0,0000;41,0357;-40,7463;-0,0000;Mertacor22;-9408,5497;0,0000;0,0000;438,5098;-435,4174;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;16487,0035;-81,3263;-81,3263;-768,4195;768,4195;-2,5400;TUC_TAC22;2930,0976;-7254,3372;0,0000;-136,5648;135,6017;-0,0000
370;0,1501;-0,0501;9499,4251;386,0326;385,0667;default broker;7476,3907;0,0000;0,0000;-303,8216;302,3012;-0,0000;COLDPOWER22;-47,8800;0,0000;0,0000;1,9457;-1,9360;-0,0000;Mertacor22;-10009,1715;0,0000;0,0000;406,7474;-404,7119;-0,0000;IS3;0,0000;0,0000;0,0000;-0,0000;0,0000;-0,0000;VidyutVanika;13966,9246;-30,9895;-30,9895;-567,5804;567,5804;-0,9659;TUC_TAC22;-1886,8386;-7252,5900;0,0000;76,6763;-76,2926;-0,0000
371;0,2374;-0,0646;-40947,2131;11398,6737;10060,6127;default broker;8308,5979;0,0000;0,0000;2312,9046;2311,4208;-0,0000;COLDPOWER22;-27,4600;0,0000;0,0000;-7,6442;-7,6442;-0,0000;Mertacor22;-11765,9545;0,0000;0,0000;-3275,3456;-3275,3456;-0,0000;IS3;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0000;VidyutVanika;9040,2599;1200,0000;1200,0000;2516,5809;2516,5809;374,4341;TUC_TAC22;-46502,6564;3046,7982;3046,7982;-12945,1693;-12945,1693;956,3145
